dataset_id,public_path,original_filename_or_pattern,data_source,data_level,role,time_range,spatial_resolution,spatial_unit,repository_status,notes
ag_neighborhood_analysis_table,data/processed/agricultural_neighbourhood/ag_neighborhood_analysis_table.csv,ag_expansion_neighborhood_supplement/ag_neighborhood_analysis_table.csv,derived from pathway typing + fraction-scale attribution + endpoint vegetation + hydroclimate trends,intermediate/processed,Per-hex UP table supporting agricultural-neighbourhood comparisons and process-context Figure 4 summaries,2000-2022,100 km2,hexagon,included_processed,Generated from 06_trend_attribution_by_hex_frac_UP.xlsx in the current workflow; endpoint_change is veg_2022 - veg_2000 and pathway_type includes legacy alias normalization.
ag_pathway_typing_rebuilt,,UP_hex_pathway_typing_rebuilt.csv,derived land-cover process-context typing,processed/intermediate,UP pathway labels used by agricultural-neighbourhood analysis,2000-2022 endpoint context,100 km2,hexagon,not_versioned,Legacy group_type may include Nat_recovery; script remaps this label to veg_cover_upgrade without changing membership.
ag_spatial_audit_integrated,data/processed/agricultural_neighbourhood/up_hex_spatial_audit_integrated.gpkg,ag_spatial_audit_outputs/up_hex_spatial_audit_integrated.gpkg,derived agricultural-neighbourhood spatial audit,processed spatial,Integrated UP hexagon geometry and agricultural-neighbourhood spatial-audit classes/local-excess attributes,2000-2022,100 km2,hexagon polygon,included_processed,Expected fields differ slightly by map lineage; v10 relies on is_ag_focal and is_nonag_neighbor_of_ag and reconstructs plotting classes. The integrated spatial-audit file retained in the repository is the downstream input used by the public mapping workflow.
aridity_polygons,,drylands_Hyperarid.shp; drylands_arid.shp; drylands_Semiarid.shp; drylands_Dry_subhumid.shp,UNEP-WCMC dryland aridity classes,processed/external,aridity-class assignment,,vector,polygon,external_not_versioned,Hexagons assigned by centroid-in-polygon with fixed class priority in legacy workflow.
attribution_up_frac_rawvpd_by_hex,,trend_outputs_xco2_vpd/06_trend_attribution_by_hex_frac_UP.xlsx,derived probability-scale/raw-VPD attribution branch,processed/legacy_or_sensitivity,Residual-component map input in the current beta_res plotting script,2000-2022,100 km2,hexagon,provenance_only_not_versioned,Current path lacks VPD_resid in the directory name; do not treat as final main attribution output without confirmation.
attribution_up_frac_rawvpd_summary,,trend_outputs_xco2_vpd/07_trend_attribution_summary_frac_UP.json,derived probability-scale/raw-VPD attribution summary,processed/legacy_or_sensitivity,Fraction-scale summary values used in the current logit-vs-fraction comparison figure,2000-2022,100 km2,UP sample summary,provenance_only_not_versioned,"Because the paired logit input is from the VPD_resid branch, the current comparison may conflate response-scale and VPD-formulation differences."
attribution_up_output,,06_trend_attribution_by_hex_UP.xlsx,derived panel attribution output,output/processed,per-hex CLIM_ONLY and CLIM_PLUS_XCO2 trend budget,2000-2022,100 km2,hexagon,not_versioned,Generated by the attribution workflow; not versioned as a repository input.
attribution_up_output_frac,,06_trend_attribution_by_hex_frac_UP.xlsx,derived panel attribution output,output/processed,UP per-hex attribution on veg_frac/probability scale,2000-2022,100 km2,hexagon,not_versioned,Used by agricultural-neighbourhood supplement; distinct from logit-scale main attribution output.
dryland_extent_vector,,Drylands_latest_July2014/drylands_UNCCD_CBD_july2014.shp,UNEP-WCMC / UNCCD-CBD dryland extent,raw external,Dryland-domain basemap/mask for publication figures,,vector,polygon,external_not_versioned,Used as neutral dryland background in map figures.
drylands_mask,,Drylands_dataset_fixed/drylands_8857.shp,UNEP-WCMC World Dryland Areas (processed/reprojected),processed,dryland mask / common study extent,,EPSG:8857,vector polygons,external_not_versioned,Used repeatedly as raster/hex mask; exact local preprocessing chain not yet supplied.
