hex_id,dominant_code,from_id,to_id,from_class,to_class,dominant_area,total_offdiag_area,dominant_share_offdiag,dominant_tie_count,pathway_type,beta_obs,beta_nat_clim,beta_res_clim,share_nat_clim,dominance_clim,beta_nat_co2,beta_res_co2,share_nat_co2,dominance_co2,veg_2000,veg_2022,endpoint_change,slope_P90,slope_VPD90,slope_SM90,slope_ET90,slope_SWnet90
17,108,1,8,cropland,urban,15840000,24660000,0.6423357664233577,1,Urban_expansion,0.0005898788932806325,1.646858526411544e-06,0.000588232034754221,0.002791858710611734,RESIDUAL,3.748577358028452e-05,0.0005523931197003481,0.06354825373019543,RESIDUAL,0.9809886,1.0,0.01901140000000001,0.3341045673076927,0.003019958496093755,-0.0001596870422363311,0.9362890624999997,0.391758742559524
23,208,2,8,forest,urban,7290000,17280000,0.421875,1,Urban_expansion,0.01433020279644269,0.0005887628178650324,0.01374143997857766,0.04108544911947695,RESIDUAL,0.0299123646138271,-0.01558216181738442,0.6574937022161357,NATURAL,0.33333334,1.0,0.66666666,0.03674727879213435,0.001935817418473484,7.454050938844224e-06,1.04650302844102,0.4706628920880149
46,102,1,2,cropland,forest,0,0,,65,No_transition,0.01566314814229249,-0.001077457036362412,0.0167406051786549,0.06046993345069342,RESIDUAL,0.03572006924291538,-0.0200569211006229,0.6404086886529818,NATURAL,0.2682927,0.8604651,0.5921723999999999,,,,,
47,1009,10,9,water and ice,bare areas,90000,90000,1.0,1,Other,0.007958632934782607,6.844321313972814e-05,0.007890189721642881,0.008599870568298508,RESIDUAL,0.02877241768218163,-0.02081378474739902,0.5802504784076274,NATURAL,0.61904764,0.86153847,0.24249082999999994,-2.066204480888452,-0.0008002535089269847,0.0001584881483906453,0.3028083570075826,0.1660519434400824
50,102,1,2,cropland,forest,0,0,,65,No_transition,0.001407114624505929,1.574831772543697e-06,0.001405539792733385,0.001119192242847066,RESIDUAL,0.0001123896470384752,0.001294724977467454,0.07987241769869166,RESIDUAL,0.952,1.0,0.04800000000000004,0.5372113523230098,0.001510884990653182,0.0001573647018027511,0.7563378769795053,0.253887237278758
54,102,1,2,cropland,forest,0,0,,65,No_transition,0.02094861660079051,0.009637771975115554,0.01131084462567496,0.4600672282460821,RESIDUAL,0.04325149768302935,-0.02230288108223883,0.6597804524683365,NATURAL,0.15,0.75,0.6,1.764620535714297,-0.003969640147929284,0.001888738359723771,3.993590339781749,1.819920895989973
58,308,3,8,shrubland,urban,630000,1080000,0.5833333333333334,1,Urban_expansion,0.009173733695652175,-9.781572740342022e-05,0.009271549423055593,0.0104399525296149,RESIDUAL,0.01557110372111577,-0.006397370025463598,0.7087931506184079,NATURAL,0.6551724,0.8965517,0.24137929999999996,-16.23355102539066,0.001617886622746789,-0.0003685563802719116,0.5141469319661477,0.01662445068359533
59,102,1,2,cropland,forest,0,0,,65,No_transition,0.01214591564229249,-0.001203379391040186,0.01334929503333268,0.0826912879343169,RESIDUAL,0.0319515537342879,-0.01980563809199541,0.6173355355431451,NATURAL,0.16666667,0.625,0.45833333,,,,,
70,203,2,3,forest,shrubland,180000,180000,1.0,1,Other,0.006955747055335969,0.0005396796164434608,0.006416067438892507,0.07758758507893929,RESIDUAL,0.01512028504501806,-0.008164537989682094,0.649362248640889,NATURAL,0.6764706,0.9117647,0.23529409999999995,0.1698485223416292,0.0007776627173790573,9.915278508113209e-05,0.7265159254807714,-0.01876617973372145
77,102,1,2,cropland,forest,0,0,,65,No_transition,0.005751182697628459,-0.005946584152975034,0.0116977668506035,0.3370248161447809,RESIDUAL,0.03772463007805518,-0.03197344738042671,0.5412578288192695,NATURAL,0.2536946,0.43349755,0.17980295000000002,-14.83400244090443,-0.0004576660936875563,-0.0002957015491122681,0.1719080617858641,0.0840827338129202
78,102,1,2,cropland,forest,0,0,,65,No_transition,0.003091247203557311,-0.003792773866373552,0.006884021069930863,0.355235245127444,RESIDUAL,0.03296625460037318,-0.02987500739681587,0.5245956804917093,NATURAL,0.6363636,0.7540107,0.1176471,-15.94708806818178,-0.0003983860924130361,-0.0003435337182247311,-0.01822916666668561,-0.280177933453863
80,102,1,2,cropland,forest,0,0,,65,No_transition,0.003603051324110672,1.908523349404836e-06,0.003601142800761266,0.0005296964094387166,RESIDUAL,0.004845371569990244,-0.001242320245879572,0.7959291824462917,NATURAL,0.8471616,0.99126637,0.14410477,-11.76438848920861,0.0008940525192150939,-0.0001756626925022375,0.1756814860611499,-0.09267549195936908
81,1009,10,9,water and ice,bare areas,1170000,2070000,0.5652173913043478,1,Other,0.007487098043478261,-0.0008115807599817487,0.008298678803460009,0.08908426311348062,RESIDUAL,0.02963010577323814,-0.02214300772975989,0.5723068165781136,NATURAL,0.58064514,0.8548387,0.27419355999999995,-5.836569393382415,0.0001574684591854182,-9.338025054240494e-05,0.06043590198863636,-0.1013327205882699
88,102,1,2,cropland,forest,0,0,,65,No_transition,0.006952018774703556,-0.002156079414244355,0.009108098188947913,0.1914102822414059,RESIDUAL,0.0164358288356784,-0.009483810060974845,0.6341071687461125,NATURAL,0.0,0.2278481,0.2278481,-14.13074977517987,-0.0003695407931467227,-0.0006262041370099932,-0.1714534622302419,-0.09372541029676285
89,102,1,2,cropland,forest,0,0,,65,No_transition,0.004753765484189724,-0.004981204321956473,0.009734969806146198,0.3384850083041719,RESIDUAL,0.03719155349948616,-0.03243778801529644,0.5341362231838749,NATURAL,0.22850123,0.3906634,0.16216217,-12.6002678571429,-0.0003321783883231122,-0.0003842244829450336,-0.2114090401785688,-0.2917131696428454
96,108,1,8,cropland,urban,270000,270000,1.0,1,Urban_expansion,0.001327140059288539,-4.747143688722212e-05,0.001374611496175761,0.03338162338041339,RESIDUAL,0.007410764394556418,-0.006083624335267881,0.5491737745910413,NATURAL,0.919708,0.95620435,0.036496350000000066,-1.139492187499991,-0.0006612323579334105,0.00053047793252127,0.06871512276785552,-0.6449916294642877
100,102,1,2,cropland,forest,0,0,,65,No_transition,0.003503413626482214,-0.003659637526349875,0.00716305115283209,0.3381449503753526,RESIDUAL,0.03646260024161784,-0.03295918661513563,0.5252328108012492,NATURAL,0.19518717,0.3368984,0.14171123,-10.3180239898987,0.0009594541607480967,-0.0006320126406796314,0.1185360863095225,-0.3188965981934757
107,203,2,3,forest,shrubland,90000,90000,1.0,1,Other,0.001041164328063243,-0.0009473704172006527,0.001988534745263895,0.3226842710427955,RESIDUAL,0.01829082648562766,-0.01724966215756441,0.5146475803767921,NATURAL,0.8780488,0.902439,0.02439020000000003,-1.46885044642857,-9.522513737754578e-05,2.141840317669972e-05,-1.491992187500002,-1.052180989583334
120,102,1,2,cropland,forest,0,0,,65,No_transition,0.004880367173913044,0.005423106295803858,-0.0005427391218908168,0.9090256143276769,NATURAL,0.0436528085856716,-0.03877244141175856,0.5296048066221528,NATURAL,0.40458015,0.5801527,0.17557254999999994,2.203597697805858,-0.002442229279122629,0.001102669958621146,1.238233397807864,0.1837357324911343
121,102,1,2,cropland,forest,0,0,,65,No_transition,0.006451612776679841,0.004467531016415277,0.001984081760264563,0.6924673211268546,NATURAL,0.04004296027038321,-0.03359134749370337,0.5438084703488342,NATURAL,0.14193548,0.31612903,0.17419354999999997,4.519689849624069,-0.001610621729931693,0.0008403185316195697,0.4537897478070135,0.2571493495251263
